의료기관명,의료기관주소(도로명),의료기관전화번호
동준한의원,"경기도 고양시 일산동구 경의로 315 (마두동, 설촌상가301,302호)",031-907-7575
아이랑치과의원,"경기도 고양시 일산동구 중앙로 1171 (장항동, 895번지 현대프리젠트프라자 214~219호)",031-908-2275
이훈피부과의원,"경기도 고양시 일산동구 강촌로 157 (마두동, 서울코아3층)",031-905-5511
동인한의원,"경기도 고양시 일산동구 강촌로 157 (마두동, 서울코아3층)",031-906-1255
형치과의원,"경기도 고양시 일산동구 강촌로 157 (마두동,  서울코아빌딩301호)",031-907-2275
강의원,"경기도 고양시 일산동구 중앙로1275번길 38-10, 209호 (장항동, 우림로데오스위트)",031-919-2568
아나파치과의원,"경기도 고양시 일산동구 중앙로 1047 (백석동, 영림브레아오피스텔304호)",031-902-2875
고양정형외과의원,"경기도 고양시 일산동구 일산로 211 (마두동, 1,5층)",031-905-9700
허브치과의원,"경기도 고양시 일산동구 탄중로 316 (중산동, 솔샘프라자302호)",031-976-3433
예원부부치과의원,"경기도 고양시 일산동구 탄중로 321 (중산동, 중앙프라자302호)",031-975-9075
마두이비인후과의원,"경기도 고양시 일산동구 중앙로 1172 (마두동, 일산그랜드프라자빌딩407호)",031-902-1862
일산성모이비인후과의원,"경기도 고양시 일산동구 강촌로 157 (마두동, 서울코아306,307호)",031-905-8912
일산윤내과의원,"경기도 고양시 일산동구 강촌로 157 (마두동, 서울코아빌딩308호)",031-904-9138
백상치과의원,"경기도 고양시 일산동구 일산로 204 (마두동, 동신상가301호)",031-905-7946
중산한의원,"경기도 고양시 일산동구 중산로 229, 401호 (중산동)",031-977-1201
세인내과의원,"경기도 고양시 일산동구 정발산로 43-7 (장항동, 메리트윈9층)",031-905-0875
김태빈내과의원,"경기도 고양시 일산동구 중산로 245 (중산동,  대성상가302호)",031-975-8402
한결한의원,경기도 고양시 일산동구 중앙로 1172 (마두동),031-905-2637
제일안과의원,"경기도 고양시 일산동구 중앙로 1172 (마두동, 그랜드프라자빌딩501,502,503,512호)",031-905-3357
두레치과의원,"경기도 고양시 일산동구 중앙로 1123 (백석동,흰돌마을 청구코아 212~214호)",031-905-6131
중산연세치과의원,"경기도 고양시 일산동구 탄중로 421 (중산동, 웅산프라자304호)",031-975-0028
청암치과의원,"경기도 고양시 일산동구 강석로 156, 201,202호 (마두동, 강촌마을7단지)",031-905-3456
성보한의원,"경기도 고양시 일산동구 중앙로 1123 (백석동, 흰돌마을2단지아파트상가 215호)",031-903-7575
벨피부과의원,"경기도 고양시 일산동구 경의로 315 (마두동, 설촌상가304호)",031-902-4320
문소아청소년과의원,"경기도 고양시 일산동구 백석로 24, 상가동 209,210호 (백석동)",031-903-9450
백마성동한의원,"경기도 고양시 일산동구 일산로 211, 3층 (마두동)",031-901-8001
연세내과의원,"경기도 고양시 일산동구 강석로 115 (마두동, 장항빌딩301,302호)",031-903-8281
광제한의원,"경기도 고양시 일산동구 강송로 180 (마두동, 백마프라자301호)",031-904-6327
호수치과의원,"경기도 고양시 일산동구 노루목로 99 (장항동, 호수마을5단지아파트상가209호)",031-902-3405
세란의원,"경기도 고양시 일산동구 장백로 172 (장항동, 금강프라자301,304호)",031-904-3263
화이트치과의원,"경기도 고양시 일산동구 중앙로1275번길 60-30 (장항동,  일산라페스타B동 308,309,310호)",031-913-2872
박소아과의원,"경기도 고양시 일산동구 강송로 169 (마두동, 한주프라자202호)",031-904-0978
동천한의원,경기도 고양시 일산동구 강송로 179 (마두동),031-904-0071
홍이비인후과의원,"경기도 고양시 일산동구 강송로 179 (마두동, 신일산크리닉빌딩 2층)",031-904-2917
대연치과의원,"경기도 고양시 일산동구 강송로 179 (마두동, 신일산크리닉3층)",031-904-1751
청아한의원,"경기도 고양시 일산동구 강송로 170 (마두동, 현대프라자303,304호)",031-901-3700
연세치과의원,"경기도 고양시 일산동구 일산로 442, 4층 (정발산동)",031-921-7528
뉴레파한의원,"경기도 고양시 일산서구 주화로 42, 주엽프라자 4층 401-1호 (주엽동)",031-924-3210
더편한한의원,"경기도 고양시 일산서구 산현로17번길 9, 부건3차 4층 404호 (탄현동)",031-923-7055
서울더블유(W)내과의원,"경기도 고양시 일산서구 중앙로 1576, 태진프라자 3층 301,302,306,308일부호 (대화동)",031-926-3166
코코이비인후과의원,"경기도 고양시 일산서구 호수로 817, 레이킨스몰 2층 264 일부호 (대화동)",031-917-1511
일산탑치과의원,"경기도 고양시 일산서구 킨텍스로 240, 오피스동 4층 408, 409호 (대화동, 킨텍스 꿈에그린)",031-811-2825
레이킨소아청소년과의원,"경기도 고양시 일산서구 호수로 817, 2층 250, 251호 (대화동)",031-921-5275
이기웅정형외과의원,"경기도 고양시 일산서구 일현로 53, 메디누리 2층 (탄현동)",031-994-7975
성모메트로정형외과의원,"경기도 고양시 일산서구 중앙로 1575, 2층 (대화동)",031-919-2388
일산만족정형외과의원,"경기도 고양시 일산서구 중앙로 1406, 한솔코아(주) 301호 (주엽동)",031-921-5677
바른서울치과의원,"경기도 고양시 일산서구 원일로 69, 씨티프라자 304호 (일산동)",031-975-2876
한사랑정신건강의학과의원,"경기도 고양시 일산서구 중앙로 1416, 한사랑빌딩 403호 (주엽동)",031-917-7557
바른생한의원,"경기도 고양시 일산서구 중앙로 1573, 킨텍스프라자 401호 (대화동)",031-923-1075
탄현웰치과의원,"경기도 고양시 일산서구 탄현로 136, 2층 (탄현동, 일산에듀포레푸르지오)",031-919-2275
로하스의원,"경기도 고양시 일산서구 탄현로 136, 2층 206호 (탄현동, 일산에듀포레푸르지오)",031-923-2256
온유치과의원,"경기도 고양시 일산서구 일현로 75, 3층 (탄현동)",031-911-7528
휴엔여성의원,"경기도 고양시 일산서구 일현로 71, 2층 (탄현동)",031-911-1787
대화사과나무치과의원,"경기도 고양시 일산서구 중앙로 1573, 킨텍스프라자 7층 (대화동)",031-903-2879
일산제일치과의원,"경기도 고양시 일산서구 일청로 20, 2층 (일산동)",031-817-2875
일산효자한의원,"경기도 고양시 일산서구 원일로 69, 씨티프라자 201호 (일산동)",031-976-0013
바른본정형외과의원,"경기도 고양시 일산서구 일현로 50, 대림프라자 4층 (탄현동)",031-918-8255
참편한마취통증의학과의원,"경기도 고양시 일산서구 중앙로 1413, 동영빌딩 2층 202호 (주엽동)",031-915-5500
본플러스한의원,"경기도 고양시 일산서구 강성로 101, 제일프라자 201호 (주엽동)",031-918-8575
고운한의원,"경기도 고양시 일산서구 중앙로 1406, 한솔코아(주) 305호 (주엽동)",031-923-8588
동방한의원,"경기도 고양시 일산서구 강성로 275, 스타타워빌딩 201호 (대화동)",031-919-0123
한음한방신경정신과한의원,"경기도 고양시 일산서구 중앙로 1426, 일송노브레스 5층 (주엽동)",031-994-7775
은강한의원,"경기도 고양시 일산서구 고양대로 688, 2층 (일산동)",031-906-7075
강선치과의원,"경기도 고양시 일산서구 중앙로 1426, 일송노브레스 705호 (주엽동)",031-914-6934
하나로솔한의원,"경기도 고양시 일산서구 대화로 362 (대화동, 고양농수산물종합유통센터 1층)",031-923-1022
청한의원,"경기도 고양시 일산서구 고양대로 686-2, 4층, 5층 (일산동)",031-976-2315
금오한의원,"경기도 고양시 일산서구 일산로 536, 2층 (일산동, 부흥프라자)",031-919-2255
연세메디람내과의원,"경기도 고양시 일산서구 탄중로233번길 25 (탄현동, 양우프라자 5층)",031-921-0111
금송아지한의원,"경기도 고양시 일산서구 일현로 48 (탄현동, 현해프라자 205호)",031-926-3767
조은정형외과의원,"경기도 고양시 일산서구 중앙로 1493 (주엽동, 에비뉴상가 2층)",031-924-7575
인애한의원,"경기도 고양시 일산서구 중앙로 1437 (주엽동, 화성프라자 304호)",031-927-9944
유티치과의원,"경기도 고양시 일산서구 강선로 49 (주엽동, 3층)",031-924-2275
뉴욕탑치과의원,"경기도 고양시 일산서구 중앙로 1437, 306,307호 (주엽동, 화성프라자)",031-915-0101
수한의원,"경기도 고양시 일산서구 일현로 65 (탄현동, 303호)",031-918-0221
대화한의원,"경기도 고양시 일산서구 중앙로 1574 (대화동, 502호, 503호)",031-924-8875
디마레클리닉의원,"경기도 고양시 일산서구 한류월드로 300 (대화동, 원마운트)",031-912-9405
바른경희한의원,"경기도 고양시 일산서구 일현로 97-11, 107호 (탄현동, 일산 위브더제니스)",031-915-7555
미앤지의원,"경기도 고양시 일산서구 중앙로 1436, 그랜드백화점일산점 8층 (주엽동)",031-916-0034
하늘체한의원,"경기도 고양시 일산서구 중앙로 1437, 505,506호 (주엽동, 화성프라자)",031-926-3113
해강한의원,"경기도 고양시 일산서구 일산로 574, 201,202,203호 (일산동, 경일빌딩)",031-912-1233
지성한의원,"경기도 고양시 일산서구 중앙로 1376, 한양상가 2층 B동 206호 (주엽동)",031-975-3100
서연한의원,"경기도 고양시 일산서구 강성로 121 (주엽동, 일산삼희프라자)",
일산본치과의원,"경기도 고양시 일산서구 일청로 7, 2층 (일산동)",031-976-3333
일산비타민의원,"경기도 고양시 일산서구 중앙로 1426, 501호 (주엽동, 일송노브레스)",031-908-2040
휴한의원,"경기도 고양시 일산서구 중앙로 1437, 701호 (주엽동, 화성프라자)",031-925-3215
참플란트치과의원,"경기도 고양시 일산서구 킨텍스로 171 (대화동, 2층일부 일산킨텍스복합개발)",031-915-2804
후한의원,"경기도 고양시 일산서구 중앙로 1426, 206호 (주엽동, 일송노블레스)",031-907-1075
레인보우의료생활협동조합 일산마디메디의원,"경기도 고양시 일산서구 중앙로 1421 (주엽동, 농협빌딩 3층)",
폴리어린이한의원,"경기도 고양시 일산서구 중앙로 1426 (주엽동, 일송노블레스 903,904호)",031-911-4855
스마일마취통증의학과의원,"경기도 고양시 일산서구 원일로 69 (일산동, 씨티프라자 208호)",031-919-1008
일산연치과의원,"경기도 고양시 일산서구 중앙로 1441 (주엽동, (주)하나은행 5층일부)",031-901-6400
문지홍한의원,"경기도 고양시 일산서구 중앙로 1576, 203호 (대화동, 태진빌딩)",031-918-1075
레이퀸의원,"경기도 고양시 일산서구 호수로 817, 218,219호 (대화동, 레이킨스몰)",031-918-1234
제이치과의원,"경기도 고양시 일산서구 일현로 50, 3층 (탄현동, 대림프라자 )",031-916-2275
오형모내과의원,"경기도 고양시 일산서구 중앙로 1564, 401호 (대화동, 그린월드)",031-925-8001
미래솔한의원,"경기도 고양시 일산서구 중앙로 1415, 501,502,503,506호 (주엽동, 씨티2000빌딩)",031-919-7588
행복한치과의원,"경기도 고양시 일산서구 중앙로 1444 (주엽동, 4층일부)",031-913-2275
제니스치과의원,"경기도 고양시 일산서구 일현로 97-11, 110호 (탄현동, 일산 두산위브터제니스판매시설)",031-925-2828
이미소치과의원,"경기도 고양시 일산서구 일현로 61, 3층 (탄현동)",031-912-2822
백광훈한의원,"경기도 고양시 일산서구 중앙로 1426, 202호 (주엽동, 일송노블레스)",031-913-8275
코아이비인후과의원,"경기도 고양시 일산서구 하이파크3로 84, 401호 (덕이동, 신성프라자)",031-917-7780
메디누리미의원,"경기도 고양시 일산서구 일현로 53 (탄현동, 메디누리 2층일부)",031-915-7577
자윤한의원,"경기도 고양시 일산서구 중앙로 1426, 301호 (주엽동, 일송노블레스)",
일산미래내과의원,"경기도 고양시 일산서구 일현로 97-11, 1층층 108A,108B,109A,158B,161,164호 (탄현동, 일산 위브더제니스)",031-924-3119
드림이비인후과의원,"경기도 고양시 일산서구 가좌1로 57, 201호 (가좌동)",031-923-2277
가좌요요치과의원,"경기도 고양시 일산서구 송산로 394, 4층 (가좌동, 비전빌딩 )",031-918-2875
일산차앤박피부과의원,"경기도 고양시 일산서구 중앙로 1441, 5층 (주엽동, 하나은행빌딩)",031-911-7571
연세아이랑소아청소년과의원,"경기도 고양시 일산서구 중앙로 1564, 403호 (대화동, 그린빌딩)",031-914-1121
더고운치과의원,"경기도 고양시 일산서구 중앙로 1422, 2층 (주엽동)",031-925-2804
경희은혜한의원,"경기도 고양시 일산서구 중앙로 1456, 413호 (주엽동, 서현프라자)",
일산모든내과의원,"경기도 고양시 일산서구 고양대로 691, 일산동 (일산동, 한더빌딩)",031-975-8500
존스킨한의원,경기도 고양시 일산서구 중앙로 1413 (주엽동),
본연합의원,"경기도 고양시 일산서구 하이파크3로78번길 1, 4층 2호 (덕이동, 리더스프라자)",031-916-7576
본연합한의원,"경기도 고양시 일산서구 하이파크3로78번길 1, 4층 1호 (덕이동, 리더스프라자)",
이레한의원,"경기도 고양시 일산서구 중앙로 1426, 509호 (주엽동, 일송노블레스)",031-922-7510
서울마디의원,"경기도 고양시 일산서구 중앙로 1426, 702,703호 (주엽동, 일송노블레스)",
드림온비뇨기과의원,"경기도 고양시 일산서구 중앙로 1547, 202호 (대화동, 킨텍스존)",031-921-7545
아이산의원,"경기도 고양시 일산서구 덕이로 10-6, 1층 (덕이동)",031-929-3157
금동한의원,"경기도 고양시 일산서구 중앙로 1449, 효원메이저 3층 304호 (주엽동)",031-912-8875
서울탑치과의원,"경기도 고양시 일산서구 중앙로 1576, 402호 (대화동, 태진빌딩)",031-919-3908
열린이비인후과의원,"경기도 고양시 일산서구 일현로 56, 304호 (탄현동, 삼정프라자)",031-922-9797
새솔한의원,"경기도 고양시 일산서구 중앙로 1564, 302호 (대화동, 그린월드)",031-912-1357
다이즐한의원,"경기도 고양시 일산서구 중앙로 1426, 901,902호 (주엽동, 일송노블레스)",031-913-1312
서울프라임치과의원,"경기도 고양시 일산서구 일산로 558, 204,205호 (일산동, 서울프라자)",
하늘마음한의원,"경기도 고양시 일산서구 중앙로 1426 (주엽동, 일송노블레스 908호,909호)",031-913-8576
이(e)튼튼치과의원,"경기도 고양시 일산서구 중앙로 1559, 503호 (대화동, 시티타워)",031-912-5480-3
민트소아청소년과의원,"경기도 고양시 일산서구 하이파크3로 84 (덕이동,신성프라자403호)",031-916-1190
닥터최의연세마음상담의원,경기도 고양시 일산서구 고봉로 291 (일산동),031-975-7201
한사랑그린이비인후과의원,"경기도 고양시 일산서구 중앙로 1416, 7층 (주엽동, 한사랑빌딩)",031-915-0980
한사랑블루이비인후과의원,"경기도 고양시 일산서구 중앙로 1416, 7층 (주엽동, 한사랑빌딩)",031-915-0980
손한의원,"경기도 고양시 일산서구 하이파크3로 84, 402호 (덕이동, 신성프라자)",031-923-1919
열린마음치과의원,"경기도 하이파크3로 84, 503호 (신성프라자)",091-913-7528
튼튼마디한의원,"경기도 고양시 일산서구 중앙로 1426 (주엽동, 66번지 일송노블레스609호)",031-924-7588
경희윤앤송한의원,"경기도 고양시 일산서구 강선로 49, 206호 (주엽동, BYC빌딩)",031-914-1119
미소플러스치과의원,"경기도 고양시 일산서구 하이파크3로78번길 1, 503호 (덕이동, 리더스프라자)",031-925-2875
이황우에스제이의원,"경기도 고양시 일산서구 중앙로 1573, 킨텍스프라자 6층 (대화동)",031-925-7788
아라치과의원,"경기도 고양시 일산서구 중앙로 1493, 상가동 1층 (주엽동, 문촌마을)",031-924-0332
메이린의원,"경기도 고양시 일산서구 호수로 817, 9층 현대백화점호 (대화동)",
린사랑의원,"경기도 고양시 일산서구 대화1로 76, 203호 (대화동, 연세프라자)",
후곡치과의원,"경기도 고양시 일산서구 일산로 580, 301호 (일산동, 정발상가)",031-917-0700
경희장수한의원,경기도 고양시 일산서구 일청로 14 (일산동),031-975-7558
이원규내과의원,"경기도 고양시 일산서구 고봉로 291, 303호 (일산동, 에이스스타디움)",031)975-0300
예원안과의원,"경기도 고양시 일산서구 중앙로 1573, 킨텍스프라자 5층 (대화동)",031-912-2727
연세봄정신건강의학과 의원,"경기도 고양시 일산서구 중앙로 1568, 301호 (대화동)",031-905-8983
우리재활의학과의원,"경기도 고양시 일산서구 중앙로 1437, 406,407호 (주엽동, 화성프라자)",031-915-7582
한사랑속편한내과의원,"경기도 고양시 일산서구 중앙로 1416, 501호 (주엽동, 한사랑빌딩)",
행복한의원,"경기도 고양시 일산서구 일현로 119, 3층 (탄현동, 동신빌딩)",031-919-0703
든든한치과의원,"경기도 고양시 일산서구 하이파크2로 60, 2층 (덕이동, 든든한빌딩)",031-916-2804
일산이지함피부과의원,"경기도 고양시 일산서구 중앙로 1413, 403호 (주엽동, 동영빌딩)",031-916-5300
대화뿌리사랑치과의원,"경기도 고양시 일산서구 중앙로 1574, 403.404호 (대화동, 월드프라자)",031-918-2223
노승현내과의원,"경기도 고양시 일산서구 중앙로 1413 (주엽동, 동영빌딩)",031 924 0875
일산맑은안과의원,"경기도 고양시 일산서구 일산로 526, 3층 (일산동, 진송빌딩)",031 922 7573
마음편한정신건강의학과의원,"경기도 고양시 일산서구 중앙로 1575, 501호 (대화동, 그린코아)",031 913 7511
아이산외과의원,"경기도 고양시 일산서구 덕이로 10 (덕이동, 지하1층 일부,2층 일부)",031 929 3111
가좌연합치과의원,"경기도 고양시 일산서구 가좌1로 53, 202호 (가좌동)",031-921-7200
경희부부한의원,"경기도 고양시 일산서구 후곡로 19, 402호 (일산동, 평화프라자)",031 916 8275
황금철신경외과의원,"경기도 고양시 일산서구 중앙로 1564 (대화동, 그린월드 303,303-1,305호)",031 914 0070
가좌우리의원,"경기도 고양시 일산서구 가좌3로 29, 1층 (가좌동)",031 921 3215
일산우리들소아청소년과의원,"경기도 고양시 일산서구 중앙로 1426, 일송노블레스 207, 208 , 810호 (주엽동)",031 916 9999
연세프라미스마취통증의학과의원,"경기도 고양시 일산서구 고봉로 291, 302호 (일산동, 에이스스타디움)",031-976-1975
클린업피부과의원,"경기도 고양시 일산서구 중앙로 1420, 5층 (주엽동)",031 921 1877
예안의원,"경기도 고양시 일산서구 원일로 69, 303호 (일산동, 씨티프라자)",031 977 7579
한사랑한의원,"경기도 고양시 일산서구 중앙로 1416, 202호 (주엽동, 한사랑빌딩)",031 921 7033
일산코앤키한의원,"경기도 고양시 일산서구 중앙로 1437, 6층 (주엽동, 화성프라자)",031 914 5775
연세재활의학과의원,"경기도 고양시 일산서구 중앙로 1573, 3층 (대화동, 킨텍스프라자)",031-919-3032
라앤미의원,"경기도 고양시 일산서구 중앙로 1426, 6층 (주엽동, 일송노블레스)",031 915 0355
후곡사과나무치과의원,"경기도 고양시 일산서구 후곡로 22, 4층 (일산동, 신일상가)",031 915 2275
상쾌한이비인후과의원,"경기도 고양시 일산서구 중앙로 1565, 401호 (대화동, 메드위즈)",031 922 2285
부부청담한의원,"경기도 고양시 일산서구 일현로 41, 2층 (탄현동, 예성프라자)",031 911 7575
선약한의원,"경기도 고양시 일산서구 일청로 32, 1층 (일산동, 명보빌딩)",031 976 0075
서울비뇨기과의원,"경기도 고양시 일산서구 중앙로 1559, 302,303호 (대화동, 시티타워)",031 919 0086
천지인한의원,"경기도 고양시 일산서구 가좌3로 11, 오성프라자 2층 203호 (가좌동)",031 925 7590
맑은선한의원,"경기도 고양시 일산서구 중앙로 1413, 402호 (주엽동, 동영빌딩)",031 911 5570
연세덴티플러스치과의원,"경기도 고양시 일산서구 일현로 123, 301호 (탄현동, 휴엔코아)",031 918 2080
정담한의원,"경기도 고양시 일산서구 일중로 59, 3층 (일산동, 메디프렌드빌딩)",031 975 1262
오정자의이레치과의원,"경기도 고양시 일산서구 중앙로 1406, 303호 (주엽동, 한솔코아)",031 923 9494
가좌엘리트치과의원,"경기도 고양시 일산서구 가좌1로 8, 3층302호(벽산블루밍5단지상가) (가좌동)",031-925-1117
일맥한의원,"경기도 고양시 일산서구 중앙로 1426, 210호 (주엽동, 일송노블레스)",031 919 7275
우리이비인후과의원,"경기도 고양시 일산서구 고봉로 291, 304호 (일산동)",031 975 7066
우리사암한의원,"경기도 고양시 일산서구 일산로 774 (대화동, 3층(대화동, 리더스프라자2차))",031 924 6303
한결소아과의원,"경기도 고양시 일산서구 고양대로675번길 32 (일산동, 2층)",031 976 1990
한결마취통증의학과의원,"경기도 고양시 일산서구 고양대로675번길 8, 1층 (일산동)",031 976 6860
독일키즈의원,"경기도 고양시 일산서구 가좌1로 8, 204호 (가좌동, 가좌마을상가동 )",031 922 9077
경희성원한의원,"경기도 고양시 일산서구 현중로 34, 1층 (탄현동)",031 913 7725
조은의원,"경기도 고양시 일산서구 가좌1로 53, 201호 (가좌동, V 샤르망빌딩)",031 922 9985
미소정신건강의학과의원,"경기도 고양시 일산서구 중앙로 1565, 503호 (대화동, 메드위즈빌딩)",031 922 0075
다인치과의원,"경기도 고양시 일산서구 고봉로 291 (일산동, 309,310호(에이스스타디움))",031 976 2875
연세예스주니어치과의원,"경기도 고양시 일산서구 일산로 523, 301호 (일산동, 보성상가)",031 925 5275
에스엔비사임당한의원,"경기도 고양시 일산서구 중앙로 1426, 309호 (주엽동, 일송노블레스)",031 912 2040
봄봄한의원,"경기도 고양시 일산서구 중앙로 1568, 3층 303호 (대화동, 하성상가)",031 922 1075
용한의원,"경기도 고양시 일산서구 고봉로 291, 308호 (일산동, 에이스스타디움)",031 976 5101
조은이치과의원,"경기도 고양시 일산서구 산현로92번길 60, 207호 (일산동, 이화프라자)",031 916 2975
박세호여성외과의원,"경기도 고양시 일산서구 중앙로 1416, 401호 (주엽동, 한사랑빌딩)",031 911 1135
코비한의원,"경기도 고양시 일산서구 중앙로 1444, 5층 (주엽동)",031 921 7575
와이비양동규내과의원,"경기도 고양시 일산서구 강선로 49, 302호 (주엽동, 일산VISTA오피스텔)",031 911 9495
이안성형외과의원,"경기도 고양시 일산서구 중앙로 1437, 703호 (주엽동, 화성프라자)",031 916 7744
마음과마음정신과의원,"경기도 고양시 일산서구 중앙로 1426, 511호 (주엽동, 일송노블레스)",031 915 4975
순비뇨기과의원,"경기도 고양시 일산서구 중앙로 1565, 502호 (대화동, 메드위즈)",031 912 0022
하태성정형외과의원,"경기도 고양시 일산서구 중앙로 1371 (주엽동, 강선마을복합상가동  2층일부)",031 921 4567
푸른안과의원,"경기도 고양시 일산서구 일중로 46, 3층 (일산동)",031 975 0903
예지안의원,"경기도 고양시 일산서구 중앙로 1426 (주엽동, 일송노블레스 303,304,313호)",031 925 4824
신침한의원,"경기도 고양시 일산서구 중앙로 1470, B동 207,208호 (주엽동, 동부썬프라자)",031 918 3201
라파엘치과의원,"경기도 고양시 일산서구 중앙로 1413, 401호 (주엽동, 동영빌딩)",031 912 2275
채난희산부인과의원,"경기도 고양시 일산서구 중앙로 1565, 502호 (대화동, 메드위즈)",031 911 7588
금강한의원,"경기도 고양시 일산서구 강선로 152, 201,202호 (일산동, 두레빌딩)",031 815 1075
순정성형외과의원,"경기도 고양시 일산서구 중앙로 1547, 303호 (대화동, 킨텍스존)",031 913 0075
규림한의원,"경기도 고양시 일산서구 중앙로 1406, 415,416호 (주엽동, 한솔코아)",031 915 8288
엠앤엠소아청소년과의원,"경기도 고양시 일산서구 강선로 49, 304호 (주엽동, 일산비스타오피스텔)",031 924 2647
봄날초이스의원,"경기도 고양시 일산서구 후곡로 22, 2층 (일산동)",031-914-0788
연세빛치과의원,"경기도 고양시 일산서구 일산로 524, 202호 (일산동, 동심프라자)",031 912 2870
연세내이로치과의원,"경기도 고양시 일산서구 대화로 124, 201호 (대화동, 명성프라자)",031 918 2275
하얀나라김피부과의원,"경기도 고양시 일산서구 일산로 576, 204,205호 (일산동, 대성프라자)",031 917 7588
보인한의원,"경기도 고양시 일산서구 탄중로 533 (일산동, 세림빌딩)",031 922 7588
서울스마일치과의원,"경기도 고양시 일산서구 중앙로 1565, 403호 (대화동, 메드위즈)",031 917 2879
미래이비인후과의원,"경기도 고양시 일산서구 중앙로 1574, 402호 (대화동, 월드프라자)",031-911-6105
숲에온한의원,"경기도 고양시 일산서구 송포로 26, 203호 (대화동, 현대프라자)",031 925 1188
서울나은치과의원,"경기도 고양시 일산서구 고양대로 732 (일산동, 3층)",031 975 2804
백민한의원,"경기도 고양시 일산서구 강선로 59, 306호 (주엽동, 동신파크빌딩)",031 913 7743
경희가좌한의원,"경기도 고양시 일산서구 송산로 393, 201호 (가좌동)",031 923 0175
남궁정형외과의원,"경기도 고양시 일산서구 고양대로 732, 2층 (일산동)",031 976 6644
연세큐치과의원,"경기도 고양시 일산서구 송포로 26, 204호 (대화동, 현대프라자)",031 919 2879
바른정형외과의원,"경기도 고양시 일산서구 일산로 676, 2층 (대화동)",031 924 6161
연세미소치과의원,"경기도 고양시 일산서구 고양대로 726 (일산동, 가동, 3층)",031 976 9728
연세이(e)멋진치과의원,경기도 고양시 일산서구 대산로 124 (주엽동),031 919 1800
류재춘내과의원,"경기도 고양시 일산서구 중앙로 1559 (대화동, 2222-3번지 씨티타워402, 403, 404호 )",031 819 9000
다솜연세내과소아청소년과의원,"경기도 고양시 일산서구 일현로 123, 302~4호 (탄현동, 휴엔코아)",031 912 3799
하나정형외과의원,"경기도 고양시 일산서구 대산로 222, 신영프라자 2층, 3층 일부 (대화동)",031 918 5252
의료법인마리아의료재단마리아의원,"경기도 고양시 일산서구 중앙로 1456 (주엽동, 서현프라자 3층)",031-924-6555
플라워여성외과의원,"경기도 고양시 일산서구 강선로 49, 303호 (주엽동, 일산비스타오피스텔)",031 911 7599
베스트치과의원,"경기도 고양시 일산서구 일현로 159, 3층 (탄현동, 탄현동근생빌딩)",031 923 7528
백희수산부인과의원,"경기도 고양시 일산서구 중앙로 1426, 503,504호 (주엽동, 일송노블레스)",031 922 9200
연세덴티프로치과의원,"경기도 고양시 일산서구 중앙로 1426 (주엽동, 일송노브레스 305호~308호, 310호~311호)",031 922 8100
대화경희한의원,"경기도 고양시 일산서구 송포로 35, 203호 (대화동, 대륙상가)",031 924 1075
스타치과교정과치과의원,"경기도 고양시 일산서구 일산로 570, 202,203호 (일산동)",031 918 2226
정병현정형외과의원,"경기도 고양시 일산서구 중앙로 1426, 506,506-1호 (주엽동, 일송노블레스)",031 918 0099
최호수치과의원,"경기도 고양시 일산서구 송포로 35, 205호 (대화동, 대륙종합상가)",031 914 2828
원내과의원,"경기도 고양시 일산서구 송포로 35, 206호 (대화동, 대륙종합상가)",031 913 7007
연세느낌표치과의원,"경기도 고양시 일산서구 일현로 53, 3층 (탄현동)",031 925 7522
연세리더스치과의원,"경기도 고양시 일산서구 주화로 42, 3층 (주엽동, 주엽프라자)",031 922 2860
팀의원,"경기도 고양시 일산서구 고봉로 291 (일산동, 에이스스타디움 311호,312호)",031 977 3668
위더스내과의원,"경기도 고양시 일산서구 중앙로 1449, 301~303호 (주엽동, 효원빌딩)",031 924 3376
호소아청소년과의원,"경기도 고양시 일산서구 현중로 8, 탄현마을16단지 (탄현동)",031 911 3325
미앤미치과의원,"경기도 고양시 일산서구 중앙로 1560, 302호 (대화동, 다산스카이빌)",031 914 2804
킴스마취통증의학과의원,"경기도 고양시 일산서구 중앙로 1563, 2층 (대화동, 영림브레아)",031 917 4477
연세백비뇨기과의원,"경기도 고양시 일산서구 중앙로 1421, 5층 (주엽동, 농협중앙회일산중앙지점)",031 911 5400
생명마루장수한의원,"경기도 고양시 일산서구 중앙로 1563, 301호 (대화동, 영림브레아)",031 813 7575
서울드림치과의원,"경기도 고양시 일산서구 강선로 152, 302,303호 (일산동, 두레빌딩)",031 916 2882
연세아름치과의원,"경기도 고양시 일산서구 중앙로 1391, 2층 에스01호 (주엽동, 강선마을복합상가동)",031 917 2877
일산고은소아과의원,"경기도 고양시 일산서구 일산로 523, 303호 (일산동, 보성상가)",031 913 8933
청담치과의원,"경기도 고양시 일산서구 중앙로 1563, 302호 (대화동, 영림프레아)",031 924 2882
참사랑정신과의원,"경기도 고양시 일산서구 일현로 47 (탄현동, 예일큰프라자 304호,404호 일부, 5층 일부)",031 924 0212
일산고려정신과의원,"경기도 고양시 일산서구 일현로 47 (탄현동, 예일큰프라자 404호 일부, 5층일부)",031 924 0211
탄현연세의원,"경기도 고양시 일산서구 일현로 47, 3층 (탄현동, 예일큰프라자)",031 916 7585
